200	2594.835780084789  4.6546637606392746e-14  4.555997965199883e-15  0.0  -7.131978954817188e-15  -6.723489843386783e-14
400	2705.346584436525  2.2737367544323206e-13  2.1674921770969863e-14  2.1674921770969863e-14  -4.274776045814216e-14  -4.274776045814216e-14
600	2703.802020937397  2.2737367544323206e-13  1.320651392786542e-13  7.418760144381918e-15  -4.591644328018108e-15  -1.2601179924787152e-14
800	2696.3338465185716  1.36474516857474e-13  2.853972822141696e-14  -6.909562745442831e-15  -2.1555633833080622e-14  -2.2737367544323206e-13
1000	2691.596325107057  1.4753388222927254e-13  4.817138120567491e-15  4.817138120567491e-15  -5.555671801811507e-14  -2.2737367544323206e-13
1200	2682.1207221925006  5.0634341086133755e-14  0.0  -9.418936139347653e-15  -6.030105963461358e-14  -6.030105963461358e-14
1400	2672.5851370253104  1.816486664246257e-14  9.019237418713724e-15  0.0  -1.7115411166267374e-14  -1.195184668358929e-13
1600	2688.9953882656037  1.3661506253427555e-15  1.3661506253427555e-15  1.2357034776740613e-15  -1.7070922534105932e-13  -1.7070922534105932e-13
1800	2688.8313766003503  1.4266583352334625e-13  9.230255204888761e-17  9.230255204888761e-17  -4.790308789357129e-14  -4.547473508864641e-13
