200	0.6770880653586012  -0.632025736681693  -0.3317964393957831  -0.003162128612343157  -0.026197409651986792  0.17694643086356787
400	0.6655897603169267  -0.6515692117783722  -0.32606893635267453  0.008341328441175952  -0.022445701511835323  0.15985460485416192
600	0.6624604677569198  -0.6544656596600037  -0.32706417659731685  0.009095407992488657  -0.0222553019384368  0.15897115606573956
800	0.663211809350694  -0.6538135897835783  -0.3270418244288472  0.01054015091527223  -0.022021641966362488  0.15851019945141998
1000	0.6648362421699434  -0.6523914315294468  -0.32595957298758177  0.00936912661627064  -0.022768634942666056  0.15975718034365952
1200	0.6647588546579056  -0.651743688809874  -0.3273345856120854  0.008939606630269166  -0.022304292084297767  0.16000156343138058
1400	0.6646768423949445  -0.6510721186715912  -0.3282469160330208  0.007991857269108161  -0.02226696528205125  0.16125776279516207
1600	0.6613305016057318  -0.6554624299905213  -0.32821959711181986  0.011413041776806554  -0.020886265353699425  0.15721441723188967
1800	0.6610068727319233  -0.6560450675223856  -0.3276068303978188  0.011168912686389561  -0.021191066429543295  0.1573999439338805
